#sl_no Z X M L T_eff
516 0.013 0.71847 2.50411 98.11372 7019.11011
517 0.013 0.71847 2.41127 168.30799 8003.48511
518 0.013 0.71847 2.17335 78.35622 3983.95386
519 0.013 0.71847 2.83122 192.61872 4968.32886
520 0.013 0.71847 2.4791 117.78105 4663.78784
521 0.013 0.71847 2.25569 62.7535 4105.97534
522 0.013 0.71847 2.82955 379.21712 4237.22534
523 0.013 0.71847 2.19268 147.47951 6353.63159
524 0.013 0.71847 2.85639 252.99194 7338.00659
525 0.013 0.71847 2.66107 180.56032 5229.80347
526 0.013 0.71847 2.12138 61.35816 7461.05347
527 0.013 0.71847 2.37595 105.25611 4245.42847
528 0.013 0.71847 2.02354 110.09778 4950.89722
529 0.013 0.71847 2.79634 142.58809 5717.8894
530 0.013 0.71847 2.10641 90.94331 6013.2019
531 0.013 0.71847 2.95937 156.0076 7128.8269
532 0.013 0.71847 2.04757 50.68326 4323.35815
533 0.013 0.71847 2.47326 124.59181 7407.73315
534 0.013 0.71847 2.28248 88.92116 5299.53003
535 0.013 0.71847 2.757 218.58992 4183.90503
536 0.013 0.71847 2.58063 101.7651 7809.68628
537 0.013 0.71847 2.30413 174.57171 6694.06128
538 0.013 0.71847 2.13394 58.33103 6724.823
539 0.013 0.71847 2.62674 131.05758 6232.6355
540 0.013 0.71847 2.23712 114.51659 4772.47925
541 0.013 0.71847 2.70222 281.50973 5756.85425
542 0.013 0.71847 2.51744 200.91346 7865.05737
543 0.013 0.71847 2.92809 412.58082 5502.55737
544 0.013 0.71847 2.00688 68.27458 5896.30737
545 0.013 0.71847 2.42412 81.73048 6880.68237
546 0.013 0.71847 2.90057 251.57373 6601.77612
547 0.013 0.71847 2.39567 69.04653 7778.92456
548 0.013 0.71847 2.73431 108.25659 7286.73706
549 0.013 0.71847 2.6082 232.53354 4710.95581
550 0.013 0.71847 2.32874 135.55346 5826.58081
551 0.013 0.71847 2.14911 96.74449 7934.78394
552 0.013 0.71847 2.79964 165.95916 6819.15894
553 0.013 0.71847 2.96286 151.68363 4358.22144
554 0.013 0.71847 2.42985 189.93061 4079.31519
555 0.013 0.71847 2.12899 95.31061 6536.98425
556 0.013 0.71847 2.77343 163.49943 7652.60925
557 0.013 0.71847 2.93512 149.43548 5191.67175
558 0.013 0.71847 2.45299 187.1156 5470.578
559 0.013 0.71847 2.00223 85.17519 5823.31238
560 0.013 0.71847 2.41849 71.15216 6938.93738
561 0.013 0.71847 2.76036 111.55797 6446.74988
562 0.013 0.71847 2.58378 239.62485 5544.40613
563 0.013 0.71847 2.05976 39.65353 7775.65613
564 0.013 0.71847 2.30694 139.68728 4428.78113
565 0.013 0.71847 2.49387 193.53451 6606.71082
566 0.013 0.71847 2.90068 397.42796 4769.21082
567 0.013 0.71847 2.40142 78.72876 7591.08582
568 0.013 0.71847 2.20574 154.5618 4424.67957
569 0.013 0.71847 2.9282 242.33418 7869.99207
570 0.013 0.71847 2.15427 58.77333 7993.03894
571 0.013 0.71847 2.65176 132.05134 7500.85144
572 0.013 0.71847 2.21618 115.38492 5482.88269
573 0.013 0.71847 2.67692 283.64429 4498.50769
574 0.013 0.71847 2.2611 86.62382 3901.73035
575 0.013 0.71847 2.73119 212.94249 5017.35535
576 0.013 0.71847 2.60522 99.13593 6969.6991
577 0.013 0.71847 2.32608 170.06153 8085.3241
578 0.013 0.71847 2.82298 145.29367 4877.90222
579 0.013 0.71847 2.12648 92.66894 7404.46472
580 0.013 0.71847 2.98756 158.96781 6288.83972
581 0.013 0.71847 2.0284 51.64496 5156.80847
582 0.013 0.71847 2.4501 126.95592 6009.93347
583 0.013 0.71847 2.63615 179.89543 3971.45691
584 0.013 0.71847 2.10152 61.13222 6202.70691
585 0.013 0.71847 2.35371 104.86852 4955.83191
586 0.013 0.71847 2.04281 109.69236 4250.36316
587 0.013 0.71847 2.50272 122.7452 5932.00378
588 0.013 0.71847 2.27718 65.39838 5374.19128
589 0.013 0.71847 2.8565 395.20007 4980.44128
590 0.013 0.71847 2.82965 263.65485 6079.66003
591 0.013 0.71847 2.48066 93.98049 7760.27527
592 0.013 0.71847 2.3887 161.2177 6775.90027
593 0.013 0.71847 2.19405 75.05532 5217.30652
594 0.013 0.71847 2.85819 184.50429 4232.93152
595 0.013 0.71847 2.66274 270.40959 6341.13464
596 0.013 0.71847 2.12271 44.74784 4372.38464
597 0.013 0.71847 2.37744 110.00112 7325.50964
598 0.013 0.71847 2.02481 105.1637 6095.04089
599 0.013 0.71847 2.68801 137.73786 5668.47839
600 0.013 0.71847 2.10773 124.48242 5032.73621
601 0.013 0.71847 2.96122 306.00818 3917.11121
602 0.013 0.71847 2.57009 155.87063 5278.82996
603 0.013 0.71847 2.98932 320.08423 7116.32996
604 0.013 0.71847 2.04885 52.96809 7510.07996
605 0.013 0.71847 2.47481 90.86346 4163.20496
606 0.013 0.71847 2.28391 133.16954 6271.40808
607 0.013 0.71847 2.75873 228.44408 7387.03308
608 0.013 0.71847 2.17857 74.21619 4056.56433
609 0.013 0.71847 2.58225 116.36199 4614.37683
610 0.013 0.71847 2.13528 46.54381 5637.71667
611 0.013 0.71847 2.23853 99.97541 7852.56042
612 0.013 0.71847 2.70392 171.5016 6868.18542
613 0.013 0.71847 2.51902 251.35285 4759.9823
614 0.013 0.71847 2.00814 41.5943 6991.2323
615 0.013 0.71847 2.42564 146.52402 5744.3573
616 0.013 0.71847 2.84808 128.03098 7237.32605
617 0.013 0.71847 2.06585 81.65872 4513.88855
618 0.013 0.71847 2.31376 68.21464 7729.51355
619 0.013 0.71847 2.90239 200.73706 5498.26355
620 0.013 0.71847 2.60983 203.0067 7914.08386
621 0.013 0.71847 2.08054 68.98591 5945.33386
622 0.013 0.71847 2.33021 82.582 6798.45886
623 0.013 0.71847 2.15046 121.03222 4690.25574
624 0.013 0.71847 2.8014 297.52674 5805.88074
625 0.013 0.71847 2.52498 151.55046 6183.22449
626 0.013 0.71847 2.21226 56.34686 6675.41199
627 0.013 0.71847 2.77507 340.50207 6806.66199
628 0.013 0.71847 2.99374 162.35455 5101.95007
629 0.013 0.71847 2.72394 148.38909 7628.51257
630 0.013 0.71847 2.07135 48.20818 6332.41882
631 0.013 0.71847 2.31991 118.50747 5348.04382
632 0.013 0.71847 2.16127 84.57877 7456.24695
633 0.013 0.71847 2.81549 207.91525 6471.87195
634 0.013 0.71847 2.53768 105.90528 5536.7157
635 0.013 0.71847 2.4436 181.67393 4552.3407
636 0.013 0.71847 2.14602 66.79167 6016.59851
637 0.013 0.71847 2.64161 125.36023 6574.41101
638 0.013 0.71847 2.24979 143.4675 4293.94226
639 0.013 0.71847 2.71752 246.10959 5409.56726
640 0.013 0.71847 2.5079 175.64839 7517.77039
641 0.013 0.71847 2.91699 360.69836 5155.27039
642 0.013 0.71847 2.41492 102.39274 6402.14539
643 0.013 0.71847 2.05673 117.18254 7271.67664
644 0.013 0.71847 2.88957 288.06329 6156.05164
645 0.013 0.71847 2.09842 86.98981 6752.82898
646 0.013 0.71847 2.35024 72.66803 5505.95398
647 0.013 0.71847 2.94814 213.84219 7737.20398
648 0.013 0.71847 2.55874 223.6787 6998.92273
649 0.013 0.71847 2.97612 459.32981 4636.42273
650 0.013 0.71847 2.46388 130.39161 7983.29773
651 0.013 0.71847 2.29539 93.06047 5875.0946
652 0.013 0.71847 2.77261 159.63946 4890.7196
653 0.013 0.71847 2.18952 51.86316 7597.75085
654 0.013 0.71847 2.49314 134.86463 3959.66492
655 0.013 0.71847 2.26846 60.02547 4451.85242
656 0.013 0.71847 2.84556 362.73175 4845.60242
657 0.013 0.71847 2.20509 107.70648 6929.19617
658 0.013 0.71847 2.87256 264.76881 8044.82117
659 0.013 0.71847 2.65098 188.96547 5936.61804
660 0.013 0.71847 2.11334 64.2144 7905.36804
661 0.013 0.71847 2.36694 76.8701 4820.99304
662 0.013 0.71847 2.62451 258.15497 7783.34656
663 0.013 0.71847 2.09224 42.71993 5552.09656
664 0.013 0.71847 2.34331 150.48926 6667.72156
665 0.013 0.71847 2.03379 76.65434 8062.25281
666 0.013 0.71847 2.69993 120.18472 4223.19031
667 0.013 0.71847 2.51531 85.77582 6314.98718
668 0.013 0.71847 2.42206 210.8579 7430.61218
669 0.013 0.71847 2.18307 107.40416 4559.51843
670 0.013 0.71847 2.84388 184.24517 5675.14343
671 0.013 0.71847 2.89811 140.67231 7151.70593
672 0.013 0.71847 2.27248 124.3076 7721.82312
673 0.013 0.71847 2.74493 305.57842 6737.44812
674 0.013 0.71847 2.209 52.8937 5769.47937
675 0.013 0.71847 2.77097 319.63471 5638.22937
676 0.013 0.71847 2.61832 142.26283 5277.29187
677 0.013 0.71847 2.11708 132.98252 4908.15125
678 0.013 0.71847 2.97436 228.12325 5892.52625
679 0.013 0.71847 2.53319 218.09128 4629.245
680 0.013 0.71847 2.01944 74.11196 6597.995
681 0.013 0.71847 2.43928 88.71832 5613.62
682 0.013 0.71847 2.39081 112.97797 4032.46765
683 0.013 0.71847 2.86072 129.29672 6837.9364
684 0.013 0.71847 2.07502 98.71884 5426.9989
685 0.013 0.71847 2.91527 169.34603 4311.3739
686 0.013 0.71847 2.37955 158.29899 5861.76453
687 0.013 0.71847 2.22733 80.63237 6140.67078
688 0.013 0.71847 2.69039 198.21403 7256.29578
689 0.013 0.71847 2.1397 136.77338 5086.56921
690 0.013 0.71847 2.78738 234.62624 4102.19421
691 0.013 0.71847 2.56025 109.23086 7892.03796
692 0.013 0.71847 2.24316 69.66792 7334.22546
693 0.013 0.71847 2.57236 167.45272 6210.39734
694 0.013 0.71847 2.99197 343.86836 4372.89734
695 0.013 0.71847 2.05067 56.90392 3979.14734
696 0.013 0.71847 2.29675 97.61515 7194.77234
697 0.013 0.71847 2.47737 161.55792 4167.56287
698 0.013 0.71847 2.88148 331.76323 6005.06287
699 0.013 0.71847 2.38553 94.17882 5283.18787
700 0.013 0.71847 2.07043 117.92598 3921.46912
701 0.013 0.71847 2.90882 289.89084 5037.09412
702 0.013 0.71847 2.16032 70.30725 5176.54724
703 0.013 0.71847 2.65921 110.23325 5734.35974
704 0.013 0.71847 2.2224 138.02853 7391.39099
705 0.013 0.71847 2.68444 236.77938 6275.76599
706 0.013 0.71847 2.14507 79.56298 4229.0863
707 0.013 0.71847 2.79438 195.58523 5213.4613
708 0.013 0.71847 2.56668 91.05521 6772.05505
709 0.013 0.71847 2.47152 156.19956 7756.43005
710 0.013 0.71847 2.75507 133.45057 4680.25818
711 0.013 0.71847 2.05582 47.4353 5352.91443
712 0.013 0.71847 2.30252 116.60755 6337.28943
713 0.013 0.71847 2.6311 215.19886 6802.81677
714 0.013 0.71847 2.09749 73.12906 4834.06677
715 0.013 0.71847 2.34919 87.5417 7918.44177
716 0.013 0.71847 2.52163 146.83323 7303.2074
717 0.013 0.71847 2.87808 329.90344 7926.6449
718 0.013 0.71847 2.18855 128.30116 5810.23865
719 0.013 0.71847 2.85103 315.39557 4694.61365
720 0.013 0.71847 2.26745 103.62324 6864.34021
721 0.013 0.71847 2.73886 177.75923 7848.71521
722 0.013 0.71847 2.80429 121.28764 6249.10583
723 0.013 0.71847 2.1124 77.35779 5494.41833
724 0.013 0.71847 2.36589 64.6218 6741.29333
725 0.013 0.71847 2.96779 190.16432 4510.04333
726 0.013 0.71847 2.01497 43.11196 7971.76208
727 0.013 0.71847 2.43388 151.87027 4756.13708
728 0.013 0.71847 2.94163 255.44821 6881.77185
729 0.013 0.71847 2.55308 186.45932 7587.2406
730 0.013 0.71847 2.96954 382.89889 5749.7406
731 0.013 0.71847 2.03529 63.36276 5618.4906
732 0.013 0.71847 2.45843 75.85062 6602.8656
733 0.013 0.71847 2.29032 111.1667 4494.66248
734 0.013 0.71847 2.76648 273.27489 5479.03748
735 0.013 0.71847 2.18468 61.95388 7004.81873
736 0.013 0.71847 2.5895 139.19735 6512.63123
737 0.013 0.71847 2.4994 78.45264 5474.93591
738 0.013 0.71847 2.40674 192.85573 4359.31091
739 0.013 0.71847 2.21063 89.78448 7656.96716
740 0.013 0.71847 2.87978 154.01971 6541.34216
741 0.013 0.71847 2.93469 140.77119 4080.40466
742 0.013 0.71847 2.65764 225.73137 4433.13904
743 0.013 0.71847 2.37289 131.58819 5548.76404
744 0.013 0.71847 2.02093 87.7881 4712.04529
745 0.013 0.71847 2.44108 73.33489 8058.92029
746 0.013 0.71847 2.68286 114.98023 7566.73279
747 0.013 0.71847 2.60483 169.46507 4951.98669
748 0.013 0.71847 2.07655 57.58776 7183.23669
749 0.013 0.71847 2.32574 98.78823 3967.61169
750 0.013 0.71847 2.1667 144.78408 6075.81482
751 0.013 0.71847 2.82256 248.36811 7060.18982
752 0.013 0.71847 2.54405 126.51065 4943.78357
753 0.013 0.71847 2.22897 67.40461 4385.97107
754 0.013 0.71847 2.63577 104.50072 8089.68201
755 0.013 0.71847 2.35336 179.26449 6974.05701
756 0.013 0.71847 2.24481 83.45705 5021.71326
757 0.013 0.71847 2.71151 205.15779 3906.08826
758 0.013 0.71847 2.40958 122.3147 7129.91638
759 0.013 0.71847 2.82923 153.15631 5997.88513
760 0.013 0.71847 2.05218 97.68376 6293.19763
761 0.013 0.71847 2.88318 167.57043 7408.82263
762 0.013 0.71847 2.13056 55.75606 4781.25916
763 0.013 0.71847 2.62257 149.96144 4289.07166
764 0.013 0.71847 2.23358 119.76319 6733.60291
765 0.013 0.71847 2.69794 294.40716 7717.97791
766 0.013 0.71847 2.51345 210.11835 5609.77478
767 0.013 0.71847 2.92345 431.4833 7972.27478
768 0.013 0.71847 2.0037 71.40259 7578.52478
769 0.013 0.71847 2.42027 85.47498 4625.39978
770 0.013 0.71847 2.89597 240.46825 4904.30603
771 0.013 0.71847 2.7429 123.87162 5343.17322
772 0.013 0.71847 2.61639 243.18711 6672.07947
773 0.013 0.71847 2.33606 141.76387 7787.70447
774 0.013 0.71847 2.15586 101.17686 5679.50134
775 0.013 0.71847 2.80843 173.56261 4563.87634
776 0.013 0.71847 2.53132 88.40716 7434.97009
777 0.013 0.71847 2.43748 217.32637 6319.34509
778 0.013 0.71847 2.48689 112.58172 6903.81775
779 0.013 0.71847 2.26277 71.80512 6346.00525
780 0.013 0.71847 2.19956 128.84324 4098.349
781 0.013 0.71847 2.86537 221.02258 5082.724
782 0.013 0.71847 2.66943 157.74379 7190.92712
783 0.013 0.71847 2.12804 53.60463 4959.67712
784 0.013 0.71847 2.38341 91.95541 6206.55212
785 0.013 0.71847 2.79191 136.29368 7957.91931
786 0.013 0.71847 2.10307 104.06105 4315.73181
787 0.013 0.71847 2.95468 178.51027 5431.35681
788 0.013 0.71847 2.56441 267.57434 4036.82556
789 0.013 0.71847 2.04432 44.27866 6005.57556
790 0.013 0.71847 2.46934 108.84775 5152.45056
791 0.013 0.71847 2.27886 77.68463 7260.65369
792 0.013 0.71847 2.75263 190.96777 6145.02869
793 0.013 0.71847 2.57654 97.27278 5866.12244
794 0.013 0.71847 2.30048 166.86542 4750.49744
795 0.013 0.71847 2.2561 148.70224 5413.92517
796 0.013 0.71847 2.72515 255.08945 4298.30017
797 0.013 0.71847 2.19308 63.27378 7136.58142
798 0.013 0.71847 2.59946 118.75756 7694.39392
799 0.013 0.71847 2.12177 111.01058 6160.40955
800 0.013 0.71847 2.98095 272.8911 7276.03455
801 0.013 0.71847 2.5388 182.05731 6406.5033
802 0.013 0.71847 2.95293 373.85925 4044.0033
803 0.013 0.71847 2.02391 61.86687 4175.2533
804 0.013 0.71847 2.44468 106.12877 7522.1283
805 0.013 0.71847 2.1068 51.10346 7312.94861
806 0.013 0.71847 2.35962 125.62478 4359.82361
807 0.013 0.71847 2.04794 91.6973 5098.10486
808 0.013 0.71847 2.71872 143.77026 6640.29236
809 0.013 0.71847 2.50901 102.60882 4548.49548
810 0.013 0.71847 2.41599 176.01906 5532.87048
811 0.013 0.71847 2.1776 89.65839 6468.02673
812 0.013 0.71847 2.83676 220.40221 7452.40173
813 0.013 0.71847 2.13433 114.1751 8049.17908
814 0.013 0.71847 2.78039 280.67027 6933.55408
815 0.013 0.71847 2.55383 130.66677 5079.64783
816 0.013 0.71847 2.45916 224.15073 3964.02283
817 0.013 0.71847 2.23754 58.15709 5571.83533
818 0.013 0.71847 2.80678 351.44119 5965.58533
819 0.013 0.71847 2.291 159.97635 6055.8197
820 0.013 0.71847 2.59027 200.31434 4825.35095
821 0.013 0.71847 2.06494 68.07099 6794.10095
822 0.013 0.71847 2.31273 81.48676 5940.97595
823 0.013 0.71847 2.48836 231.84012 7979.45251
824 0.013 0.71847 2.39611 135.14924 6995.07751
825 0.013 0.71847 2.07962 82.40809 7733.35876
826 0.013 0.71847 2.32917 68.84063 4517.73376
827 0.013 0.71847 2.92173 202.5792 6748.98376
828 0.013 0.71847 2.14951 49.13155 6609.53064
829 0.013 0.71847 2.3624 189.36424 7101.71814
830 0.013 0.71847 2.21128 96.45599 4886.87439
831 0.013 0.71847 2.671 165.46427 5871.24939
832 0.013 0.71847 2.25328 94.74302 7358.19397
833 0.013 0.71847 2.72173 162.52577 6373.81897
834 0.013 0.71847 2.31803 186.0013 4651.16272
835 0.013 0.71847 2.11911 84.66796 4019.52209
836 0.013 0.71847 2.37341 70.72845 7235.14709
837 0.013 0.71847 2.97722 208.13452 5003.89709
838 0.013 0.71847 2.53562 238.19787 4265.61584
839 0.013 0.71847 2.02137 39.41739 6496.86584
840 0.013 0.71847 2.44162 138.85543 5249.99084
841 0.013 0.71847 2.63946 196.75694 7419.71741
842 0.013 0.71847 2.10416 66.86211 5450.96741
843 0.013 0.71847 2.35666 80.03963 6304.09241
844 0.013 0.71847 2.24796 157.13532 5697.06116
845 0.013 0.71847 2.50586 134.25004 6673.23303
846 0.013 0.71847 2.28003 59.75193 6181.04553
847 0.013 0.71847 2.86008 361.07875 6312.29553
848 0.013 0.71847 2.17487 117.30612 4195.88928
849 0.013 0.71847 2.8332 288.36708 5311.51428
850 0.013 0.71847 2.1367 87.08155 5777.04163
851 0.013 0.71847 2.78347 214.0677 4792.66663
852 0.013 0.71847 2.55666 99.65977 7204.38538
853 0.013 0.71847 2.46188 170.96015 6220.01038
854 0.013 0.71847 2.00948 93.15861 6654.776
855 0.013 0.71847 2.77036 146.06142 5112.5885
856 0.013 0.71847 2.06722 51.91786 4932.11975
857 0.013 0.71847 2.3153 127.62677 7885.24475
858 0.013 0.71847 2.49111 176.82486 5838.56506
859 0.013 0.71847 2.89747 363.11429 7676.06506
860 0.013 0.71847 2.39876 103.07856 4722.94006
861 0.013 0.71847 2.08192 107.82006 5592.47131
862 0.013 0.71847 2.92496 265.04803 4476.84631
863 0.013 0.71847 2.15189 64.28212 4616.29944
864 0.013 0.71847 2.64883 120.65011 4058.48694
865 0.013 0.71847 2.21373 151.07199 6831.14319
866 0.013 0.71847 2.67396 259.15462 7946.76819
867 0.013 0.71847 2.62548 95.5453 6413.8092
868 0.013 0.71847 2.34417 163.90204 7529.4342
869 0.013 0.71847 2.23605 76.30502 4461.46545
870 0.013 0.71847 2.70093 187.57636 5577.09045
871 0.013 0.71847 2.00592 45.49291 5716.54358
872 0.013 0.71847 2.42295 111.83268 6569.66858
873 0.013 0.71847 2.84493 140.03125 4322.01233
874 0.013 0.71847 2.06357 106.91471 7964.19983
875 0.013 0.71847 2.3112 62.32503 4879.82483
876 0.013 0.71847 2.89918 183.40555 6848.57483
877 0.013 0.71847 2.61929 154.9424 4531.19202
878 0.013 0.71847 2.08807 52.65266 6762.44202
879 0.013 0.71847 2.33865 90.32236 5515.56702
880 0.013 0.71847 2.15825 132.37651 7623.77014
881 0.013 0.71847 2.81154 227.08367 6639.39514
882 0.013 0.71847 2.53412 115.66905 5376.11389
883 0.013 0.71847 2.22027 73.77423 5933.92639
884 0.013 0.71847 2.48377 85.86628 4844.96155
885 0.013 0.71847 2.19681 98.26896 6042.6178
886 0.013 0.71847 2.86177 168.57431 7158.2428
887 0.013 0.71847 2.66608 247.0626 5050.03967
888 0.013 0.71847 2.38043 144.02305 3934.41467
889 0.013 0.71847 2.02735 80.26492 5328.94592
890 0.013 0.71847 2.69138 125.84566 6936.75842
891 0.013 0.71847 2.95097 233.55703 7375.62561
892 0.013 0.71847 2.56119 204.07941 6112.34436
893 0.013 0.71847 2.97898 419.08218 4274.84436
894 0.013 0.71847 2.04176 69.35044 4143.59436
895 0.013 0.71847 2.46624 83.01837 7096.71936
896 0.013 0.71847 2.276 121.67177 4988.51624
897 0.013 0.71847 2.74918 299.0989 4004.14124
898 0.013 0.71847 2.17102 56.64461 7498.67249
899 0.013 0.71847 2.57331 152.35127 7990.85999
900 0.013 0.71847 2.77609 149.1732 6282.04651
901 0.013 0.71847 2.09116 95.14332 5986.73401
902 0.013 0.71847 2.93794 163.21245 4871.10901
903 0.013 0.71847 2.03274 48.46292 7676.57776
904 0.013 0.71847 2.45535 119.13368 4592.20276
905 0.013 0.71847 2.28745 85.02569 6700.40588
906 0.013 0.71847 2.76301 209.0139 7816.03088
907 0.013 0.71847 2.58626 106.46489 4190.24963
908 0.013 0.71847 2.30915 182.63391 5305.87463
909 0.013 0.71847 2.49627 123.2205 7336.14807
910 0.013 0.71847 2.2713 65.65163 7893.96057
911 0.013 0.71847 2.20785 141.01871 5646.30432
912 0.013 0.71847 2.87617 241.90884 4661.92932
913 0.013 0.71847 2.65431 172.65031 6770.13245
914 0.013 0.71847 2.11599 58.67017 4538.88245
915 0.013 0.71847 2.36991 100.64504 7754.50745
916 0.013 0.71847 2.39523 72.23528 4221.01135
917 0.013 0.71847 2.73381 113.25617 4713.19885
918 0.013 0.71847 2.60772 222.34668 7288.9801
919 0.013 0.71847 2.32832 129.61511 6173.3551
920 0.013 0.71847 2.1691 92.50629 4065.15198
921 0.013 0.71847 2.82569 158.6888 5180.77698
922 0.013 0.71847 2.45245 198.70213 7920.62073
923 0.013 0.71847 2.14365 61.02492 5275.11292
924 0.013 0.71847 2.63868 137.11018 5767.30042
925 0.013 0.71847 2.2473 109.49983 7227.45667
926 0.013 0.71847 2.71451 269.17731 6243.08167
927 0.013 0.71847 2.50512 192.11182 4134.87854
928 0.013 0.71847 2.91376 394.50642 6497.37854
929 0.013 0.71847 2.41225 78.15002 5119.25354
930 0.013 0.71847 2.88637 263.19209 5398.15979
931 0.013 0.71847 2.38817 147.92061 7488.93127
932 0.013 0.71847 2.07272 75.34595 6258.46252
933 0.013 0.71847 2.32145 62.94119 5011.58752
934 0.013 0.71847 2.91204 185.21874 7242.83752
935 0.013 0.71847 2.22486 105.57092 5380.72815
936 0.013 0.71847 2.68741 181.10036 4396.35315
937 0.013 0.71847 2.14745 124.96445 6434.82971
938 0.013 0.71847 2.79747 307.19313 7550.45471
939 0.013 0.71847 2.56952 143.01456 4449.67346
940 0.013 0.71847 2.82402 321.32369 4351.23596
941 0.013 0.71847 2.2834 175.09384 7657.09534
942 0.013 0.71847 2.58168 219.2437 5442.25159
943 0.013 0.71847 2.05809 74.50358 7411.00159
944 0.013 0.71847 2.30507 89.18712 4326.62659
945 0.013 0.71847 2.6278 282.3517 4923.40393
946 0.013 0.71847 2.09486 46.72404 6892.15393
947 0.013 0.71847 2.34625 114.8591 5907.77893
948 0.013 0.71847 2.03634 100.36254 4677.31018
949 0.013 0.71847 2.70332 131.44957 7072.62268
950 0.013 0.71847 2.51847 93.81554 4980.82581
951 0.013 0.71847 2.4251 160.93473 3996.45081
952 0.013 0.71847 2.18581 81.97493 8015.98206
953 0.013 0.71847 2.84745 201.51437 7031.60706
954 0.013 0.71847 2.26461 135.95888 4853.67737
955 0.013 0.71847 2.73542 233.22902 5969.30237
956 0.013 0.71847 2.20135 69.25304 6576.33362
957 0.013 0.71847 2.60926 108.58038 6018.52112
958 0.013 0.71847 2.10975 121.50089 7831.41174
959 0.013 0.71847 2.96407 298.67885 6715.78674
960 0.013 0.71847 2.52442 166.45553 8077.50549
961 0.013 0.71847 2.93621 341.82059 5715.00549
962 0.013 0.71847 2.01244 56.56506 5846.25549
963 0.013 0.71847 2.43083 97.03384 6961.88049
964 0.013 0.71847 2.62122 164.47891 5511.7218
965 0.013 0.71847 2.08961 55.89336 7742.9718
966 0.013 0.71847 2.34037 95.88159 4527.3468
967 0.013 0.71847 2.51216 112.22629 4387.89368
968 0.013 0.71847 2.28576 71.57842 4945.70618
969 0.013 0.71847 2.18033 140.52411 6635.54993
970 0.013 0.71847 2.84032 241.06039 7619.92493
971 0.013 0.71847 2.26963 79.20041 5581.44836
972 0.013 0.71847 2.74149 194.69393 4465.82336
973 0.013 0.71847 2.33485 155.48775 6418.16711
974 0.013 0.71847 2.80698 132.84242 5441.99524
975 0.013 0.71847 2.11443 101.426 6852.93274
976 0.013 0.71847 2.97063 173.99 7968.55774
977 0.013 0.71847 2.0169 47.21914 4605.27649
978 0.013 0.71847 2.43622 116.07616 7689.65149
979 0.013 0.71847 2.48561 211.82319 7092.87415
980 0.013 0.71847 2.39346 86.1685 6108.49915
981 0.013 0.71847 2.91849 221.56684 6387.4054
982 0.013 0.71847 2.1675 53.73662 6510.45227
983 0.013 0.71847 2.71892 324.72848 6116.70227
984 0.013 0.71847 2.66805 144.52996 7002.63977
985 0.013 0.71847 2.22979 126.2886 4000.29602
986 0.013 0.71847 2.69337 310.44819 4984.67102
987 0.013 0.71847 2.14207 104.3173 7162.60071
988 0.013 0.71847 2.79046 178.94984 6046.97571
989 0.013 0.71847 2.46806 204.7977 4849.31946
990 0.013 0.71847 2.75121 122.10001 8056.74133
991 0.013 0.71847 2.57521 262.26899 3938.77258
992 0.013 0.71847 2.05294 43.40072 6170.02258
993 0.013 0.71847 2.29929 152.88749 5054.39758
994 0.013 0.71847 2.99705 254.28411 7177.98157
995 0.013 0.71847 2.2576 162.18352 4585.79407
996 0.013 0.71847 2.60118 185.60961 6308.45032
997 0.013 0.71847 2.07364 63.07401 4339.70032
998 0.013 0.71847 2.32248 75.50496 7424.07532
999 0.013 0.71847 2.16367 110.66011 5315.87219
1000 0.013 0.71847 2.81861 272.02955 4200.24719
1001 0.013 0.71847 2.54049 138.56302 7793.21594
1002 0.013 0.71847 2.22585 61.67155 7301.02844
1003 0.013 0.71847 2.1484 50.94212 4155.13
1004 0.013 0.71847 2.36119 196.34259 5631.6925
1005 0.013 0.71847 2.25228 91.4078 6369.97375
1006 0.013 0.71847 2.72053 156.80441 7354.34875
1007 0.013 0.71847 2.51067 229.81263 5246.14563
1008 0.013 0.71847 2.00149 38.02979 7477.39563
1009 0.013 0.71847 2.4176 133.96733 4261.77063
1010 0.013 0.71847 2.059 89.37533 5000.05188
1011 0.013 0.71847 2.30609 74.6608 6246.92688
1012 0.013 0.71847 2.89277 219.70637 4015.67688
1013 0.013 0.71847 2.09579 113.81464 4481.20422
1014 0.013 0.71847 2.94445 279.78416 5596.82922
1015 0.013 0.71847 2.55553 170.60013 4727.29797
1016 0.013 0.71847 2.97239 350.33165 6564.79797
1017 0.013 0.71847 2.03724 57.97348 6958.54797
1018 0.013 0.71847 2.46079 99.4499 5842.92297
1019 0.013 0.71847 2.29252 145.75384 7951.1261
1020 0.013 0.71847 2.76913 250.03165 6835.5011
1021 0.013 0.71847 2.18678 67.85608 5736.28235
1022 0.013 0.71847 2.59199 127.358 5178.46985
1023 0.013 0.71847 2.49001 102.86149 6216.16516
1024 0.013 0.71847 2.3977 176.4525 7200.54016
1025 0.013 0.71847 2.20232 82.14792 4788.82141
1026 0.013 0.71847 2.86896 201.93963 5773.19641
1027 0.013 0.71847 2.64766 295.96284 7881.39954
1028 0.013 0.71847 2.11069 48.97644 5912.64954
1029 0.013 0.71847 2.36397 120.39603 6897.02454
1030 0.013 0.71847 2.01334 96.15147 7635.30579
1031 0.013 0.71847 2.67278 150.75386 4124.36829
1032 0.013 0.71847 2.47755 147.60911 5569.65637
