#sl_no Z X M L T_eff
119 0.013 0.71847 2.64287 143.34154 7710.86426
120 0.013 0.71847 2.25087 125.25017 5266.33301
121 0.013 0.71847 2.71882 307.89548 4281.95801
122 0.013 0.71847 2.5091 219.74497 6390.16113
123 0.013 0.71847 2.00023 74.67392 4421.41113
124 0.013 0.71847 2.41608 89.39103 7374.53613
125 0.013 0.71847 2.89095 229.85301 7095.62988
126 0.013 0.71847 2.7805 130.27712 4042.0166
127 0.013 0.71847 2.09448 99.46738 7684.2041
128 0.013 0.71847 2.9426 170.63011 6568.5791
129 0.013 0.71847 2.03597 46.3073 5994.36035
130 0.013 0.71847 2.45925 113.83463 6847.48535
131 0.013 0.71847 2.29108 81.24376 4739.28223
132 0.013 0.71847 2.7674 199.717 5854.90723
133 0.013 0.71847 2.59036 92.97877 6133.81348
134 0.013 0.71847 2.31282 159.4993 7249.43848
135 0.013 0.71847 2.48845 107.61191 5096.11816
136 0.013 0.71847 2.26419 68.63535 5653.93066
137 0.013 0.71847 2.20094 134.74622 7901.58691
138 0.013 0.71847 2.86716 231.14878 6917.21191
139 0.013 0.71847 2.646 164.97086 4809.00879
140 0.013 0.71847 2.10936 56.06053 7040.25879
141 0.013 0.71847 2.36249 96.16836 5793.38379
142 0.013 0.71847 2.08985 118.98727 6967.19971
143 0.013 0.71847 2.9361 292.49974 8082.82471
144 0.013 0.71847 2.54828 163.01187 6721.10596
145 0.013 0.71847 2.96396 334.74896 4883.60596
146 0.013 0.71847 2.03147 55.39483 4489.85596
147 0.013 0.71847 2.45381 95.02639 7836.73096
148 0.013 0.71847 2.28601 139.27073 5728.52783
149 0.013 0.71847 2.76128 238.91029 4612.90283
150 0.013 0.71847 2.18058 70.93999 7943.37158
151 0.013 0.71847 2.58464 111.22531 7385.55908
152 0.013 0.71847 2.4947 89.83182 4239.66064
153 0.013 0.71847 2.40222 154.1009 5224.03564
154 0.013 0.71847 2.20647 78.49399 6782.62939
155 0.013 0.71847 2.87436 192.95739 7767.00439
156 0.013 0.71847 2.65264 282.79847 5658.80127
157 0.013 0.71847 2.11466 46.79797 7627.55127
158 0.013 0.71847 2.36843 115.04084 4674.42627
159 0.013 0.71847 2.01713 100.52135 5904.89502
160 0.013 0.71847 2.67781 131.65756 6331.45752
161 0.013 0.71847 2.26185 169.55441 6792.8833
162 0.013 0.71847 2.60608 212.3075 4085.85205
163 0.013 0.71847 2.07755 72.14651 6054.60205
164 0.013 0.71847 2.32686 86.36551 5201.47705
165 0.013 0.71847 2.16774 126.57734 7309.68018
166 0.013 0.71847 2.82391 311.15799 6194.05518
167 0.013 0.71847 2.54527 144.86041 5816.71143
168 0.013 0.71847 2.23004 53.85949 5324.52393
169 0.013 0.71847 2.79737 325.47093 5193.27393
170 0.013 0.71847 2.24589 104.5558 4147.37549
171 0.013 0.71847 2.71281 179.35899 5131.75049
172 0.013 0.71847 2.41074 153.23705 6255.57861
173 0.013 0.71847 2.83059 122.37917 4762.60986
174 0.013 0.71847 2.05316 78.05397 7486.04736
175 0.013 0.71847 2.29955 65.20337 4270.42236
176 0.013 0.71847 2.88456 191.87572 6501.67236
177 0.013 0.71847 2.48148 184.99112 5393.2251
178 0.013 0.71847 2.88627 379.88389 7230.7251
179 0.013 0.71847 2.38949 75.25336 4408.8501
180 0.013 0.71847 2.91365 253.43677 4129.94385
181 0.013 0.71847 2.16391 61.46604 4006.89697
182 0.013 0.71847 2.66362 138.1013 4499.08447
183 0.013 0.71847 2.22609 110.29136 6517.05322
184 0.013 0.71847 2.6889 271.12309 7501.42822
185 0.013 0.71847 2.14863 91.10321 5462.95166
186 0.013 0.71847 2.79902 156.2819 4347.32666
187 0.013 0.71847 2.47563 195.68834 6529.35791
188 0.013 0.71847 2.00171 89.07751 6176.62354
189 0.013 0.71847 2.41786 74.41202 5060.99854
190 0.013 0.71847 2.75965 116.66902 5553.18604
191 0.013 0.71847 2.58311 229.04685 6455.52979
192 0.013 0.71847 2.30634 133.52092 7571.15479
193 0.013 0.71847 2.62926 171.95412 8028.479
194 0.013 0.71847 2.09602 58.43359 5797.229
195 0.013 0.71847 2.34755 100.2392 7044.104
196 0.013 0.71847 2.03747 114.71794 7749.57275
197 0.013 0.71847 2.51986 128.3688 6067.93213
198 0.013 0.71847 2.29277 68.39462 6625.74463
199 0.013 0.71847 2.18702 146.91063 4935.90088
200 0.013 0.71847 2.84903 252.01606 5920.27588
201 0.013 0.71847 2.26586 82.79989 8098.20557
202 0.013 0.71847 2.73694 203.54235 6982.58057
203 0.013 0.71847 2.6107 103.67786 5030.23682
204 0.013 0.71847 2.33098 177.85293 3914.61182
205 0.013 0.71847 2.80233 151.95033 7122.03369
206 0.013 0.71847 2.11092 96.91459 4595.47119
207 0.013 0.71847 2.96571 166.25096 5711.09619
