#sl_no Z X M/M_Sun L/L_Sun T_eff
3792 0.013 0.71847 8.56318 8765.86544 6421.82007
3793 0.013 0.71847 3.15871 308.79467 7078.07007
3794 0.013 0.71847 3.81953 753.65017 5503.07007
3795 0.013 0.71847 10.11166 15310.25062 7537.44507
3796 0.013 0.71847 4.30103 1645.25152 6749.94507
3797 0.013 0.71847 10.60345 19136.27043 6618.69507
3798 0.013 0.71847 3.3519 292.04586 5667.13257
3799 0.013 0.71847 7.16624 10362.17804 7767.13257
3800 0.013 0.71847 4.05314 712.77269 7242.13257
3801 0.013 0.71847 6.21464 3396.8475 5535.88257
3802 0.013 0.71847 5.13944 1391.79749 5010.88257
3803 0.013 0.71847 10.98794 49382.83855 7110.88257
3804 0.013 0.71847 8.26354 12951.67833 4748.38257
3805 0.013 0.71847 5.65153 2174.33296 7898.38257
3806 0.013 0.71847 4.56408 996.00966 6257.75757
3807 0.013 0.71847 6.36398 4746.66465 4551.50757
3808 0.013 0.71847 3.27082 501.26824 7473.87085
3809 0.013 0.71847 8.45583 7287.35943 7998.87085
3810 0.013 0.71847 3.11911 401.04692 6555.12085
3811 0.013 0.71847 3.77165 978.80277 3930.12085
3812 0.013 0.71847 9.9849 12727.92743 7014.49585
3813 0.013 0.71847 4.24711 1367.75305 7276.99585
3814 0.013 0.71847 10.47053 24853.2215 7145.74585
3815 0.013 0.71847 7.87443 6518.27517 4783.24585
3816 0.013 0.71847 7.24645 7705.28914 6194.18335
3817 0.013 0.71847 4.0985 530.01595 6719.18335
3818 0.013 0.71847 8.76244 18805.67561 4619.18335
3819 0.013 0.71847 6.2842 3946.06233 3962.93335
3820 0.013 0.71847 5.19697 1616.82844 4487.93335
3821 0.013 0.71847 3.90841 424.04695 7375.43335
3822 0.013 0.71847 8.35603 15045.75343 5275.43335
3823 0.013 0.71847 5.71479 2525.88713 6325.43335
3824 0.013 0.71847 4.61517 740.63024 7834.80835
3825 0.013 0.71847 9.86706 26278.55257 5734.80835
3826 0.013 0.71847 3.00997 155.4091 7178.55835
3827 0.013 0.71847 6.43521 5514.12289 5078.55835
3828 0.013 0.71847 7.11854 5362.49704 4209.0271
3829 0.013 0.71847 5.10524 1125.23198 6965.2771
3830 0.013 0.71847 10.9148 39924.73714 4865.2771
3831 0.013 0.71847 5.74881 3070.29118 5324.6521
3832 0.013 0.71847 4.75421 1257.99688 5849.6521
3833 0.013 0.71847 3.57543 805.24783 4537.1521
3834 0.013 0.71847 9.24333 11706.56728 4012.1521
3835 0.013 0.71847 3.10065 263.97 5455.9021
3836 0.013 0.71847 3.74933 644.25021 8080.9021
3837 0.013 0.71847 9.57849 17296.60292 6276.2146
3838 0.013 0.71847 6.86945 3629.40819 6932.4646
3839 0.013 0.71847 3.45032 348.8577 7916.8396
3840 0.013 0.71847 4.17215 851.42876 5291.8396
3841 0.013 0.71847 7.73543 9903.14905 6735.5896
3842 0.013 0.71847 5.29035 1662.54464 5685.5896
3843 0.013 0.71847 3.30007 442.15853 5808.63647
3844 0.013 0.71847 3.99047 1079.14053 7383.63647
3845 0.013 0.71847 6.11855 5142.83988 5939.88647
3846 0.013 0.71847 5.05998 2107.18663 5414.88647
3847 0.013 0.71847 3.14701 552.6536 4102.38647
3848 0.013 0.71847 8.13577 8034.39174 4627.38647
3849 0.013 0.71847 10.07421 21922.52141 4168.01147
3850 0.013 0.71847 6.57031 2944.52674 4824.26147
3851 0.013 0.71847 5.49848 3891.43027 7416.44897
3852 0.013 0.71847 4.54718 1594.44394 7941.44897
3853 0.013 0.71847 8.84082 14837.44947 6103.94897
3854 0.013 0.71847 6.04634 2490.91698 5053.94897
3855 0.013 0.71847 3.26112 214.15798 7547.69897
3856 0.013 0.71847 6.97216 7598.61172 5447.69897
3857 0.013 0.71847 3.94337 522.67804 5972.69897
3858 0.013 0.71847 8.43077 18545.31665 8072.69897
3859 0.013 0.71847 7.48695 6796.6789 6300.82397
3860 0.013 0.71847 4.88292 912.89694 4857.07397
3861 0.013 0.71847 10.4395 32390.80585 6957.07397
3862 0.013 0.71847 4.4142 938.70932 5726.60522
3863 0.013 0.71847 6.76825 4473.58947 7170.35522
3864 0.013 0.71847 7.62148 9766.0429 4085.98022
3865 0.013 0.71847 4.31061 671.76694 4610.98022
3866 0.013 0.71847 9.21593 23835.19053 6710.98022
3867 0.013 0.71847 6.01055 3201.42718 6054.73022
3868 0.013 0.71847 4.97066 1311.72751 6579.73022
3869 0.013 0.71847 3.73821 344.02787 5267.23022
3870 0.013 0.71847 7.99216 12206.56949 7367.23022
3871 0.013 0.71847 5.46593 2049.24379 4217.23022
3872 0.013 0.71847 9.5501 16131.96897 4906.29272
3873 0.013 0.71847 6.53142 2708.24143 8056.29272
3874 0.013 0.71847 7.18221 4230.94498 5693.79272
3875 0.013 0.71847 3.44009 635.33075 5365.66772
3876 0.013 0.71847 8.89345 9236.33929 5890.66772
3877 0.013 0.71847 3.60741 794.09942 6021.91772
3878 0.013 0.71847 9.31217 11464.29979 8060.39429
3879 0.013 0.71847 3.96096 1231.96263 6222.89429
3880 0.013 0.71847 10.73806 22385.79561 6091.64429
3881 0.013 0.71847 8.07562 5871.14132 5829.14429
3882 0.013 0.71847 4.67723 2151.71642 7207.26929
3883 0.013 0.71847 3.51753 564.33246 6419.76929
3884 0.013 0.71847 9.09365 8204.17724 6944.76929
3885 0.013 0.71847 3.05045 451.50237 7601.01929
3886 0.013 0.71847 4.51356 833.80843 6780.70679
3887 0.013 0.71847 9.64983 29584.63968 4680.70679
3888 0.013 0.71847 6.92061 6207.851 4024.45679
3889 0.013 0.71847 7.4316 6940.30864 7240.08179
3890 0.013 0.71847 8.98633 16938.6496 5665.08179
3891 0.013 0.71847 5.8608 3554.29757 5008.83179
3892 0.013 0.71847 4.84682 1456.30984 5533.83179
3893 0.013 0.71847 3.64508 381.9476 6321.33179
3894 0.013 0.71847 7.79304 13552.01221 4221.33179
3895 0.013 0.71847 5.32975 2275.11725 7371.33179
3896 0.013 0.71847 5.36149 3456.56246 4270.55054
3897 0.013 0.71847 4.43389 1416.26463 4795.55054
3898 0.013 0.71847 8.62056 13179.36267 5058.05054
3899 0.013 0.71847 5.8957 2212.5567 6108.05054
3900 0.013 0.71847 3.17988 297.17988 4401.80054
3901 0.013 0.71847 3.84512 725.30289 7026.80054
3902 0.013 0.71847 7.65549 4830.10875 5254.92554
3903 0.013 0.71847 4.99284 1013.51903 8011.17554
3904 0.013 0.71847 10.67451 35961.01235 5911.17554
3905 0.013 0.71847 3.37436 314.22314 6862.73804
3906 0.013 0.71847 4.08029 766.89898 4237.73804
3907 0.013 0.71847 6.25629 5709.69828 6993.98804
3908 0.013 0.71847 5.17388 2339.44672 6468.98804
3909 0.013 0.71847 8.31891 8919.96518 7781.48804
3910 0.013 0.71847 9.82322 19472.67696 7322.11304
3911 0.013 0.71847 10.30099 15579.39753 6665.86304
3912 0.013 0.71847 6.40662 4086.02161 7978.36304
3913 0.013 0.71847 4.36858 695.59323 7313.90991
3914 0.013 0.71847 9.33985 24680.57916 5213.90991
3915 0.013 0.71847 8.49356 6472.99612 6526.40991
3916 0.013 0.71847 6.69831 3314.97568 5870.15991
3917 0.013 0.71847 3.52799 398.26106 4754.53491
3918 0.013 0.71847 4.26606 972.00354 6329.53491
3919 0.013 0.71847 5.94843 4632.25914 4885.78491
3920 0.013 0.71847 4.91929 1897.98531 4360.78491
3921 0.013 0.71847 3.05951 497.78619 5148.28491
3922 0.013 0.71847 7.90956 7236.73795 5673.28491
3923 0.013 0.71847 7.27878 6121.90515 7346.72241
3924 0.013 0.71847 5.60559 4381.00851 6362.34741
3925 0.013 0.71847 4.63576 1795.03986 6887.34741
3926 0.013 0.71847 9.01304 16704.13906 7149.84741
3927 0.013 0.71847 6.16412 2804.29758 3999.84741
3928 0.013 0.71847 3.0234 241.10105 6493.59741
3929 0.013 0.71847 3.65592 588.43581 4918.59741
3930 0.013 0.71847 3.30497 247.91824 7231.87866
3931 0.013 0.71847 7.06591 8796.47093 5131.87866
3932 0.013 0.71847 3.99639 605.07397 5656.87866
3933 0.013 0.71847 6.12764 2883.58974 7100.62866
3934 0.013 0.71847 5.06749 1181.49931 7625.62866
3935 0.013 0.71847 10.83411 41921.17739 5525.62866
3936 0.013 0.71847 8.14785 10994.70223 6313.12866
3937 0.013 0.71847 5.57241 1845.79503 5263.12866
3938 0.013 0.71847 4.71906 1056.80771 4672.50366
3939 0.013 0.71847 6.58007 5036.40877 6116.25366
3940 0.013 0.71847 8.64618 10398.35695 4836.56616
3941 0.013 0.71847 5.91322 1745.68034 7986.56616
3942 0.013 0.71847 3.18933 366.30236 5492.81616
3943 0.013 0.71847 3.85655 894.00453 7067.81616
3944 0.013 0.71847 9.73614 14530.38835 5952.19116
3945 0.013 0.71847 7.32212 3810.89709 4639.69116
3946 0.013 0.71847 10.20967 18161.52119 3983.44116
3947 0.013 0.71847 7.67824 4763.23734 7920.94116
3948 0.013 0.71847 9.28285 14341.71052 4252.6062
3949 0.013 0.71847 6.34865 2407.69212 7402.6062
3950 0.013 0.71847 6.98122 3761.4124 5040.1062
3951 0.013 0.71847 10.70425 17925.69291 5696.3562
3952 0.013 0.71847 3.50646 705.97359 5761.9812
3953 0.013 0.71847 9.06502 10263.33376 5236.9812
3954 0.013 0.71847 3.04084 361.54591 4055.7312
3955 0.013 0.71847 3.677 882.39584 6680.7312
3956 0.013 0.71847 4.49935 1043.085 5072.9187
3957 0.013 0.71847 6.89882 4971.01075 7829.1687
3958 0.013 0.71847 7.4082 8682.24831 4482.2937
3959 0.013 0.71847 4.18999 597.21706 3957.2937
3960 0.013 0.71847 8.95803 21190.06077 6057.2937
3961 0.013 0.71847 5.84235 2846.14618 6713.5437
3962 0.013 0.71847 4.83156 1166.15748 6188.5437
3963 0.013 0.71847 3.6336 305.8491 5926.0437
3964 0.013 0.71847 7.76851 10851.93546 8026.0437
3965 0.013 0.71847 5.31297 1821.82729 4876.0437
3966 0.013 0.71847 4.41993 1771.73118 7550.26245
3967 0.013 0.71847 4.01944 464.67342 4662.76245
3968 0.013 0.71847 8.59341 16487.23496 6762.76245
3969 0.013 0.71847 5.87713 2767.88363 5712.76245
3970 0.013 0.71847 3.16986 237.97034 7944.01245
3971 0.013 0.71847 6.77705 8443.50621 5844.01245
3972 0.013 0.71847 3.83302 580.79494 5319.01245
3973 0.013 0.71847 7.63138 6042.4119 6959.63745
3974 0.013 0.71847 10.64089 28796.20967 6303.38745
3975 0.013 0.71847 3.36374 393.08962 5417.44995
3976 0.013 0.71847 4.06745 959.38202 8042.44995
3977 0.013 0.71847 6.23659 4572.10902 5286.19995
3978 0.013 0.71847 5.15759 1873.33987 5811.19995
3979 0.013 0.71847 3.20772 491.32241 4498.69995
3980 0.013 0.71847 8.29272 7142.76854 3973.69995
3981 0.013 0.71847 9.79229 24360.10058 4826.82495
3982 0.013 0.71847 6.38645 3271.93055 4170.57495
3983 0.013 0.71847 9.36588 19763.26821 6935.02808
3984 0.013 0.71847 10.79999 15811.88928 7066.27808
3985 0.013 0.71847 6.71697 4146.99741 6278.77808
3986 0.013 0.71847 3.53782 318.9123 7525.65308
3987 0.013 0.71847 7.56373 11315.43527 5425.65308
3988 0.013 0.71847 4.27795 778.34343 5950.65308
3989 0.013 0.71847 4.933 2374.35835 7919.40308
3990 0.013 0.71847 7.9316 9053.07805 6081.90308
3991 0.013 0.71847 5.42452 1519.83438 5031.90308
3992 0.013 0.71847 7.29906 4902.18859 4867.84058
3993 0.013 0.71847 5.62121 3508.14483 5983.46558
3994 0.013 0.71847 4.64868 1437.39958 5458.46558
3995 0.013 0.71847 9.03815 13376.03864 4670.96558
3996 0.013 0.71847 6.1813 2245.57474 7820.96558
3997 0.013 0.71847 3.03183 301.61471 5852.21558
3998 0.013 0.71847 3.6661 736.12661 7427.21558
3999 0.013 0.71847 7.0856 7043.87904 6590.49683
4000 0.013 0.71847 4.00753 484.5202 6065.49683
4001 0.013 0.71847 8.56794 17191.4255 3965.49683
4002 0.013 0.71847 6.14471 3607.33844 4621.74683
4003 0.013 0.71847 5.08161 1478.04239 4096.74683
4004 0.013 0.71847 3.82166 387.64741 8034.24683
4005 0.013 0.71847 8.17056 13754.24923 5934.24683
4006 0.013 0.71847 5.58794 2309.06889 6984.24683
4007 0.013 0.71847 4.73221 846.25138 7181.12183
4008 0.013 0.71847 10.11729 30026.13201 5081.12183
4009 0.013 0.71847 3.08631 177.57196 7837.37183
4010 0.013 0.71847 6.59841 6300.49091 5737.37183
4011 0.013 0.71847 3.35377 572.75401 7870.18433
4012 0.013 0.71847 8.67027 8326.60839 7345.18433
4013 0.013 0.71847 3.19822 458.24015 6163.93433
4014 0.013 0.71847 3.8673 1118.38965 4588.93433
4015 0.013 0.71847 9.76327 11635.38183 6360.80933
4016 0.013 0.71847 4.15284 1250.34724 7673.30933
4017 0.013 0.71847 10.23812 22719.85941 7804.55933
4018 0.013 0.71847 7.69964 5958.75651 4392.05933
4019 0.013 0.71847 3.27993 627.08095 4707.87964
4020 0.013 0.71847 8.4794 9116.40495 4182.87964
4021 0.013 0.71847 3.12781 321.14311 5101.62964
4022 0.013 0.71847 3.78216 783.788 7726.62964
4023 0.013 0.71847 10.01273 15922.49453 5298.50464
4024 0.013 0.71847 7.53013 4176.00595 3986.00464
4025 0.013 0.71847 10.49971 19901.51363 4642.25464
4026 0.013 0.71847 7.89637 5219.58661 7529.75464
4027 0.013 0.71847 3.39886 271.67042 7628.19214
4028 0.013 0.71847 7.26664 9639.23034 5528.19214
4029 0.013 0.71847 4.10992 663.04401 5003.19214
4030 0.013 0.71847 6.30171 3159.85649 7759.44214
4031 0.013 0.71847 5.21145 1294.69466 7234.44214
4032 0.013 0.71847 8.37932 12048.06657 6971.94214
4033 0.013 0.71847 5.73071 2022.63426 5921.94214
4034 0.013 0.71847 4.62803 926.52013 4018.81714
4035 0.013 0.71847 9.89455 32874.17467 6118.81714
4036 0.013 0.71847 6.45314 4415.49969 6775.06714
4037 0.013 0.71847 9.49181 10480.22203 6693.03589
4038 0.013 0.71847 7.13837 6708.42368 8005.53589
4039 0.013 0.71847 10.94521 31970.20959 7349.28589
4040 0.013 0.71847 5.76483 3840.89985 7021.16089
4041 0.013 0.71847 4.76746 1573.74 6496.16089
4042 0.013 0.71847 9.26908 14644.78443 7808.66089
4043 0.013 0.71847 6.33923 2458.5723 4658.66089
4044 0.013 0.71847 3.10929 211.37712 6889.91089
4045 0.013 0.71847 6.64755 7499.94336 4789.91089
4046 0.013 0.71847 3.75977 515.89104 4264.91089
4047 0.013 0.71847 9.60518 21637.85636 5872.72339
4048 0.013 0.71847 3.8961 1190.80112 5741.47339
4049 0.013 0.71847 3.45994 436.41707 4363.34839
4050 0.013 0.71847 4.18377 1065.12783 6988.34839
4051 0.013 0.71847 5.83369 5076.05984 4232.09839
4052 0.013 0.71847 4.8244 2079.82471 4757.09839
4053 0.013 0.71847 7.75699 7930.06475 5019.59839
4054 0.013 0.71847 5.30509 1331.30246 6069.59839
4055 0.013 0.71847 3.28968 354.06371 6471.55151
4056 0.013 0.71847 3.9779 864.13465 4896.55151
4057 0.013 0.71847 5.04404 2636.06686 6865.30151
4058 0.013 0.71847 8.11015 10050.93399 7127.80151
4059 0.013 0.71847 5.54663 1687.35484 3977.80151
4060 0.013 0.71847 10.04249 17554.72057 7980.92651
4061 0.013 0.71847 10.53092 14044.90872 6012.17651
4062 0.013 0.71847 6.54962 3683.56995 7324.67651
4063 0.013 0.71847 5.48116 3116.10922 4929.36401
4064 0.013 0.71847 4.53286 1276.77 4404.36401
4065 0.013 0.71847 8.81298 11881.26468 5716.86401
4066 0.013 0.71847 6.0273 1994.63149 6766.86401
4067 0.013 0.71847 3.25086 267.90923 4798.11401
4068 0.013 0.71847 6.95021 9505.77808 6898.11401
4069 0.013 0.71847 3.93095 653.86437 6373.11401
4070 0.013 0.71847 7.46337 5442.52172 5913.73901
4071 0.013 0.71847 4.86755 1142.02384 7357.48901
4072 0.013 0.71847 10.40663 40520.53501 5257.48901
4073 0.013 0.71847 4.4003 751.68268 6127.02026
4074 0.013 0.71847 9.40767 26670.70808 4027.02026
4075 0.013 0.71847 6.74694 5596.41028 4683.27026
4076 0.013 0.71847 7.59748 7820.27537 7636.39526
4077 0.013 0.71847 9.18691 19086.31319 5011.39526
4078 0.013 0.71847 5.99162 4004.94952 5667.64526
4079 0.013 0.71847 4.95501 1640.95641 5142.64526
4080 0.013 0.71847 3.72644 430.37501 6980.14526
4081 0.013 0.71847 7.967 15270.2816 4880.14526
4082 0.013 0.71847 5.44872 2563.58101 8030.14526
4083 0.013 0.71847 9.52003 12917.86662 7406.70776
4084 0.013 0.71847 4.04938 1388.16406 6619.20776
4085 0.013 0.71847 10.97775 25224.10676 6750.45776
4086 0.013 0.71847 8.25588 6615.54756 5437.95776
4087 0.013 0.71847 4.55985 1939.78366 7603.58276
4088 0.013 0.71847 3.42926 508.74868 6816.08276
4089 0.013 0.71847 8.86545 7396.10888 6291.08276
4090 0.013 0.71847 4.35159 983.07642 7704.07104
4091 0.013 0.71847 6.67226 4685.02897 5210.32104
4092 0.013 0.71847 3.51427 288.25363 3963.44604
4093 0.013 0.71847 7.51338 10227.62463 6063.44604
4094 0.013 0.71847 4.24948 703.5173 6588.44604
4095 0.013 0.71847 9.08522 24961.73569 4488.44604
4096 0.013 0.71847 5.9253 3352.73926 4094.69604
4097 0.013 0.71847 4.90016 1373.72493 4619.69604
4098 0.013 0.71847 3.6852 360.28799 7507.19604
4099 0.013 0.71847 7.87881 12783.50013 5407.19604
4100 0.013 0.71847 5.38841 2146.09914 6457.19604
4101 0.013 0.71847 9.64088 15111.44623 6883.75854
4102 0.013 0.71847 7.25048 3963.29163 7671.25854
4103 0.013 0.71847 3.4728 595.13916 7343.13354
4104 0.013 0.71847 8.97799 8652.04023 7868.13354
4105 0.013 0.71847 3.01165 304.78496 6686.88354
4106 0.013 0.71847 3.6417 743.86398 4061.88354
4107 0.013 0.71847 3.33144 463.05668 8048.60229
4108 0.013 0.71847 4.0284 1130.14497 5423.60229
4109 0.013 0.71847 6.17671 5385.91079 7917.35229
4110 0.013 0.71847 5.10808 2206.78059 7392.35229
4111 0.013 0.71847 3.17693 578.77419 6079.85229
4112 0.013 0.71847 8.21311 8414.12879 6604.85229
4113 0.013 0.71847 10.16998 22958.66628 6407.97729
4114 0.013 0.71847 6.63277 3083.69669 6801.72729
4115 0.013 0.71847 5.42049 3645.25492 5456.41479
4116 0.013 0.71847 4.48269 1493.57799 5981.41479
4117 0.013 0.71847 8.71543 13898.81919 4143.91479
4118 0.013 0.71847 5.96058 2333.33935 7293.91479
4119 0.013 0.71847 3.21487 200.61015 5325.16479
4120 0.013 0.71847 6.87327 7117.91677 7425.16479
4121 0.013 0.71847 3.88744 489.61296 7950.16479
4122 0.013 0.71847 8.3112 17372.12339 5850.16479
4123 0.013 0.71847 7.38076 6366.71494 4340.78979
4124 0.013 0.71847 4.81367 855.14627 6834.53979
4125 0.013 0.71847 10.29144 30341.7346 4734.53979
4126 0.013 0.71847 7.05936 5165.29456 6432.58667
4127 0.013 0.71847 5.06279 1083.85227 4726.33667
4128 0.013 0.71847 10.82406 38456.52985 6826.33667
4129 0.013 0.71847 5.70102 2957.38314 7548.21167
4130 0.013 0.71847 4.71469 1211.73483 8073.21167
4131 0.013 0.71847 3.54571 775.63535 6760.71167
4132 0.013 0.71847 9.16648 11276.06557 6235.71167
4133 0.013 0.71847 3.07488 254.26266 7416.96167
4134 0.013 0.71847 3.71816 620.55831 5841.96167
4135 0.013 0.71847 9.72711 18626.28925 4299.77417
4136 0.013 0.71847 6.97604 3908.42104 4693.52417
4137 0.013 0.71847 3.50386 375.67634 5940.39917
4138 0.013 0.71847 4.23688 916.88284 7515.39917
4139 0.013 0.71847 7.85546 10664.45934 4496.64917
4140 0.013 0.71847 5.37244 1790.35372 7646.64917
4141 0.013 0.71847 4.41665 1840.97639 3922.43042
4142 0.013 0.71847 3.32157 482.83442 5234.93042
4143 0.013 0.71847 8.58704 7019.37133 5759.93042
4144 0.013 0.71847 3.16751 386.29867 4578.68042
4145 0.013 0.71847 3.83017 942.80791 6153.68042
4146 0.013 0.71847 10.13983 12259.86584 4775.55542
4147 0.013 0.71847 4.31301 1317.45478 5038.05542
4148 0.013 0.71847 10.633 23939.25979 5169.30542
4149 0.013 0.71847 7.99661 6278.56967 7006.80542
4150 0.013 0.71847 3.36124 233.8592 6055.24292
4151 0.013 0.71847 7.18621 8297.63769 3955.24292
4152 0.013 0.71847 4.06443 570.76123 4480.24292
4153 0.013 0.71847 8.6896 20251.37277 6580.24292
4154 0.013 0.71847 6.23196 4249.41814 6186.49292
4155 0.013 0.71847 5.15377 1741.12306 6711.49292
4156 0.013 0.71847 3.87592 456.6458 5398.99292
4157 0.013 0.71847 8.28657 16202.4044 7498.99292
4158 0.013 0.71847 5.66728 2720.06616 4348.99292
4159 0.013 0.71847 4.5768 797.56662 5595.86792
4160 0.013 0.71847 9.78503 28298.73145 7695.86792
4161 0.013 0.71847 6.38171 5938.02426 7302.11792
4162 0.013 0.71847 3.2775 259.63583 5009.34448
4163 0.013 0.71847 7.00717 9212.22685 7109.34448
4164 0.013 0.71847 3.96317 633.67216 7634.34448
4165 0.013 0.71847 6.0767 3019.87957 5140.59448
4166 0.013 0.71847 5.02536 1237.34163 5665.59448
4167 0.013 0.71847 10.74404 43902.53765 7765.59448
4168 0.013 0.71847 8.08012 11514.35524 4353.09448
4169 0.013 0.71847 5.52609 1933.03458 7503.09448
4170 0.013 0.71847 4.67983 1106.75661 6649.96948
4171 0.013 0.71847 6.52537 5274.44932 4156.21948
4172 0.013 0.71847 3.39634 670.01322 6289.03198
4173 0.013 0.71847 8.78034 9740.54762 6814.03198
4174 0.013 0.71847 3.23882 343.12975 7732.78198
4175 0.013 0.71847 3.91639 837.44901 5107.78198
4176 0.013 0.71847 9.88721 13611.18303 7929.65698
4177 0.013 0.71847 4.20556 1462.66838 6092.15698
4178 0.013 0.71847 10.36809 17012.60717 6223.40698
4179 0.013 0.71847 4.43636 728.46971 5353.87573
4180 0.013 0.71847 9.48477 25847.08071 7453.87573
4181 0.013 0.71847 8.62535 6778.93546 4566.37573
4182 0.013 0.71847 6.80224 3471.65451 7847.62573
4183 0.013 0.71847 3.58273 417.08445 6994.50073
4184 0.013 0.71847 4.33226 1017.94426 4369.50073
4185 0.013 0.71847 6.04073 4851.19798 6863.25073
4186 0.013 0.71847 4.99562 1987.69158 6338.25073
4187 0.013 0.71847 3.10699 521.31353 7125.75073
4188 0.013 0.71847 8.03229 7578.77474 7650.75073
4189 0.013 0.71847 7.21827 5734.62798 5386.68823
4190 0.013 0.71847 5.55899 4103.86201 4402.31323
4191 0.013 0.71847 4.59722 1681.48404 4927.31323
4192 0.013 0.71847 8.93811 15647.42033 5189.81323
4193 0.013 0.71847 6.11288 2626.89521 6239.81323
4194 0.013 0.71847 3.62552 551.21084 6896.06323
4195 0.013 0.71847 5.28545 3329.44953 6494.11011
4196 0.013 0.71847 4.37101 1364.18238 7019.11011
4197 0.013 0.71847 8.49829 12694.69984 7281.61011
4198 0.013 0.71847 5.81208 2131.19131 4131.61011
4199 0.013 0.71847 3.13478 286.25128 6362.86011
4200 0.013 0.71847 3.79059 698.63033 4787.86011
4201 0.013 0.71847 7.54691 4652.48452 7478.48511
4202 0.013 0.71847 4.92203 976.2475 5772.23511
4203 0.013 0.71847 10.52311 34638.56856 7872.23511
4204 0.013 0.71847 3.40644 338.37922 4886.29761
4205 0.013 0.71847 4.11908 825.85478 6461.29761
4206 0.013 0.71847 6.31576 6148.63463 4755.04761
4207 0.013 0.71847 5.22306 2519.29304 4230.04761
4208 0.013 0.71847 8.39799 9605.69265 5542.54761
4209 0.013 0.71847 5.74348 1612.60754 6592.54761
4210 0.013 0.71847 9.9166 20969.65023 5345.67261
4211 0.013 0.71847 10.39891 16777.0727 4426.92261
4212 0.013 0.71847 6.46752 4400.13688 5739.42261
4213 0.013 0.71847 9.40069 11042.70732 5821.45386
4214 0.013 0.71847 3.99862 1186.65797 3983.95386
4215 0.013 0.71847 10.84014 21562.57195 4115.20386
4216 0.013 0.71847 8.15239 5655.23376 8052.70386
4217 0.013 0.71847 4.72169 2072.58839 4968.32886
4218 0.013 0.71847 3.55097 543.57949 4180.82886
4219 0.013 0.71847 5.19215 3237.89724 7330.82886
4220 0.013 0.71847 3.07944 434.89865 5624.57886
4221 0.013 0.71847 4.44955 897.90794 4541.76636
4222 0.013 0.71847 3.1911 188.41124 4148.01636
4223 0.013 0.71847 6.82246 6685.08312 6248.01636
4224 0.013 0.71847 7.3262 7473.84887 5001.14136
4225 0.013 0.71847 4.14361 514.0961 5526.14136
4226 0.013 0.71847 8.85887 18240.81806 7626.14136
4227 0.013 0.71847 5.77768 3827.53624 7232.39136
4228 0.013 0.71847 4.77808 1568.2645 7757.39136
4229 0.013 0.71847 3.59338 411.31004 4344.89136
4230 0.013 0.71847 5.25416 2450.01821 5394.89136
4231 0.013 0.71847 4.34353 1527.80094 4663.78784
4232 0.013 0.71847 8.44486 14217.28837 5451.28784
4233 0.013 0.71847 5.77554 2386.80408 6501.28784
4234 0.013 0.71847 3.11507 205.20681 4007.53784
4235 0.013 0.71847 6.6599 7281.01243 6107.53784
4236 0.013 0.71847 3.76676 500.83166 6632.53784
4237 0.013 0.71847 7.49946 6512.59801 5123.16284
4238 0.013 0.71847 4.89108 874.74058 7616.91284
4239 0.013 0.71847 10.45695 31036.96686 5516.91284
4240 0.013 0.71847 3.38502 423.67762 6730.97534
4241 0.013 0.71847 4.09318 1034.03567 4105.97534
4242 0.013 0.71847 6.27605 4927.88452 6599.72534
4243 0.013 0.71847 5.19022 2019.11252 6074.72534
4244 0.013 0.71847 3.22802 529.55433 7387.22534
4245 0.013 0.71847 8.34519 7698.57814 7912.22534
4246 0.013 0.71847 9.85425 21006.22546 7190.35034
4247 0.013 0.71847 6.42686 2821.45431 7584.10034
4248 0.013 0.71847 9.45316 16344.19923 7666.13159
4249 0.013 0.71847 6.46512 2743.87073 4516.13159
4250 0.013 0.71847 7.1093 4286.60679 6878.63159
4251 0.013 0.71847 10.90063 20428.602 6484.88159
4252 0.013 0.71847 4.74804 2454.29152 7338.00659
4253 0.013 0.71847 3.57079 643.68909 6025.50659
4254 0.013 0.71847 9.23133 9357.85147 6550.50659
4255 0.013 0.71847 3.09663 329.64853 7994.25659
4256 0.013 0.71847 3.74446 804.5465 5369.25659
4257 0.013 0.71847 4.47438 951.05886 6911.44409
4258 0.013 0.71847 6.86054 4532.44348 4417.69409
4259 0.013 0.71847 3.44584 278.86557 5270.81909
4260 0.013 0.71847 7.36708 9894.5238 7370.81909
4261 0.013 0.71847 4.16673 680.60463 7895.81909
4262 0.013 0.71847 5.80993 3243.54478 5402.06909
4263 0.013 0.71847 4.80475 1328.98444 5927.06909
4264 0.013 0.71847 3.61344 348.55386 6189.56909
4265 0.013 0.71847 7.72539 12367.15766 4089.56909
4266 0.013 0.71847 5.28349 2076.2034 7239.56909
4267 0.013 0.71847 3.29579 226.24271 7362.61597
4268 0.013 0.71847 7.04628 8027.3941 5262.61597
4269 0.013 0.71847 3.98529 552.17226 5787.61597
4270 0.013 0.71847 8.52039 19591.81111 7887.61597
4271 0.013 0.71847 6.11061 4111.01996 7493.86597
4272 0.013 0.71847 5.05341 1684.41688 8018.86597
4273 0.013 0.71847 3.80045 441.77342 4081.36597
4274 0.013 0.71847 8.12521 15674.71254 6181.36597
4275 0.013 0.71847 5.55693 2631.47704 5131.36597
4276 0.013 0.71847 4.70595 771.59088 4803.24097
4277 0.013 0.71847 10.06114 27377.07747 6903.24097
4278 0.013 0.71847 6.56179 5744.63031 6509.49097
