1 0.013 0.71847 0.55 755.0 6000.0
2 0.013 0.71847 0.775 382.5 4950.0
3 0.013 0.71847 0.4375 568.75 6525.0
4 0.013 0.71847 0.6625 196.25 7575.0
5 0.013 0.71847 0.94375 103.125 6787.5
6 0.013 0.71847 0.49375 848.125 4687.5
7 0.013 0.71847 0.38125 289.375 5212.5
8 0.013 0.71847 0.60625 661.875 4162.5
9 0.013 0.71847 0.85938 335.9375 4818.75
10 0.013 0.71847 0.52188 149.6875 7443.75
11 0.013 0.71847 0.97188 894.6875 5343.75
12 0.013 0.71847 0.74688 522.1875 6393.75
13 0.013 0.71847 0.69062 987.8125 4031.25
14 0.013 0.71847 0.91562 615.3125 7181.25
15 0.013 0.71847 0.35312 429.0625 4556.25
16 0.013 0.71847 0.57812 56.5625 5606.25
17 0.013 0.71847 0.81719 33.28125 7903.125
18 0.013 0.71847 0.36719 778.28125 5803.125
19 0.013 0.71847 0.47969 219.53125 4228.125
20 0.013 0.71847 0.92969 964.53125 6328.125
21 0.013 0.71847 0.70469 592.03125 5278.125
22 0.013 0.71847 0.31094 126.40625 5015.625
23 0.013 0.71847 0.76094 871.40625 7115.625
24 0.013 0.71847 0.42344 685.15625 7640.625
25 0.013 0.71847 0.64844 312.65625 6590.625
26 0.013 0.71847 0.84531 731.71875 6196.875
27 0.013 0.71847 0.50781 545.46875 5671.875
28 0.013 0.71847 0.73281 172.96875 4621.875
29 0.013 0.71847 0.90156 266.09375 5934.375
30 0.013 0.71847 0.33906 79.84375 6459.375
31 0.013 0.71847 0.78906 824.84375 4359.375
32 0.013 0.71847 0.56406 452.34375 7509.375
33 0.013 0.71847 0.79609 231.17188 6295.3125
34 0.013 0.71847 0.34609 976.17188 4195.3125
35 0.013 0.71847 0.45859 44.92188 5770.3125
36 0.013 0.71847 0.90859 789.92188 7870.3125
37 0.013 0.71847 0.68359 417.42188 4720.3125
38 0.013 0.71847 0.96484 696.79688 5507.8125
39 0.013 0.71847 0.40234 510.54688 6032.8125
40 0.013 0.71847 0.62734 138.04688 7082.8125
41 0.013 0.71847 0.65547 929.60938 4589.0625
42 0.013 0.71847 0.88047 557.10938 7739.0625
43 0.013 0.71847 0.54297 743.35938 4064.0625
44 0.013 0.71847 0.76797 370.85938 5114.0625
45 0.013 0.71847 0.93672 91.48438 4326.5625
46 0.013 0.71847 0.48672 836.48438 6426.5625
47 0.013 0.71847 0.59922 650.23438 6951.5625
48 0.013 0.71847 0.58516 952.89062 7673.4375
49 0.013 0.71847 0.81016 580.39062 4523.4375
50 0.013 0.71847 0.47266 394.14062 7148.4375
51 0.013 0.71847 0.69766 21.64062 6098.4375
52 0.013 0.71847 0.30391 673.51562 6360.9375
53 0.013 0.71847 0.97891 301.01562 7410.9375
54 0.013 0.71847 0.41641 114.76562 4785.9375
55 0.013 0.71847 0.86641 859.76562 6885.9375
56 0.013 0.71847 0.64141 487.26562 5835.9375
57 0.013 0.71847 0.83828 161.32812 5442.1875
58 0.013 0.71847 0.38828 906.32812 7542.1875
59 0.013 0.71847 0.50078 347.57812 7017.1875
60 0.013 0.71847 0.66953 813.20312 5704.6875
61 0.013 0.71847 0.89453 440.70312 6754.6875
62 0.013 0.71847 0.33203 626.95312 5179.6875
63 0.013 0.71847 0.55703 254.45312 4129.6875
64 0.013 0.71847 0.78555 132.22656 4080.46875
65 0.013 0.71847 0.33555 877.22656 6180.46875
66 0.013 0.71847 0.44805 318.47656 7755.46875
67 0.013 0.71847 0.67305 690.97656 6705.46875
